isbn,title,author,year
9781250109310,One With You,Sylvia Day,2016
9780345503800,The Painted Man,Peter V. Brett,2008
9781476791620,A Work in Progress,Connor Franta,2015
9780515136260,"Chesapeake Blue (Chesapeake Bay Saga, #4)",Nora Roberts,2002
9781844137880,Wall and Piece,Banksy,1988
9780441015670,"Courageous (Lost Fleet Series, #3)",Jack Campbell,2006
9780547576720,We the Animals,Justin Torres,2011
9781451693590,The Marriage of Opposites,Alice Hoffman,2015
9780316187750,Theft of Swords,Michael J. Sullivan,2011
9780446574460,The Story of Beautiful Girl,Rachel Simon,2011
9780446698220,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,1973
9780809594080,The Legend of Sleepy Hollow,Washington Irving,1820
9780060740690,Death at La Fenice,Donna Leon,1992
9780062392180,The Crown,Kiera Cass,2016
9780312546560,No Mercy,Sherrilyn Kenyon,2010
9780689875340,A Great and Terrible Beauty,Libba Bray,2003
9780152050850,Once Upon a Marigold,Jean Ferris,2002
9780451412360,Lover Revealed,J.R. Ward,2007
9780345484120,The Elves of Cintra ,Terry Brooks,2007
9780670011940,Along for the Ride,Sarah Dessen,2009
9780061779820,The Body Finder,Kimberly Derting,2010
9780618620110,How We Decide,Jonah Lehrer,2009
9780679744470,Written on the Body,Jeanette Winterson,1992
9781416586590,Foreign Influence,Brad Thor,2010
9788466309160,La ciudad y los perros,Mario Vargas Llosa,1962
9780440227500,The River,Gary Paulsen,1991
9781408857910,A Court of Wings and Ruin,Sarah J. Maas,2017
9780688040740,A Chair for My Mother ,Vera B. Williams,1982
9780385336700,The Hard Way,Lee Child,2006
9781608463860,Men Explain Things to Me,Rebecca Solnit,2014
9780515142240,"Die Trying (Jack Reacher, #2)",Lee Child,1998
9780547628350,Grave Mercy,Robin LaFevers,2012
9781250060560,Fairest,Marissa Meyer,2015
9780375424040,The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,2008
9780349103240,The Crow Road,Iain Banks,1992
9780060880120,How to Be Popular,Meg Cabot,2006
9780061128650,Lost & Found,Jacqueline Sheehan,2007
9780451458220,The Summer Tree,Guy Gavriel Kay,1984
9780698193030,The Bourbon Kings,J.R. Ward,2015
9780385731060,The Second Summer of the Sisterhood,Ann Brashares,2003
9780425204050,"Valhalla Rising (Dirk Pitt, #16)",Clive Cussler,2001
9780515134450,"Blue Moon (Anita Blake, Vampire Hunter, #8)",Laurell K. Hamilton,1998
9780316067930,Breaking Dawn,Stephenie Meyer,2008
9780374180650,Justice: What's the Right Thing to Do?,Michael J. Sandel,2009
9781857988840,The Sirens of Titan,Kurt Vonnegut Jr.,1959
9780316166680,The Lovely Bones,Alice Sebold,2002
9780373775490,"The Darkest Secret (Lords of the Underworld, #7)",Gena Showalter,2011
9780812993550,Between the World and Me,Ta-Nehisi Coates,2015
9780425227950,The Darkest Hour,Maya Banks,2010
9780451528830,Anne of Green Gables,L.M. Montgomery,1908
9780312983600,The Mermaids Singing ,Val McDermid,1995
9780330412740,Cosmopolis,Don DeLillo,2003
9780718154840,The Fry Chronicles: An Autobiography,Stephen Fry,2010
9780060085490,Island,Aldous Huxley,1962
9780385312580,Cold Sassy Tree,Olive Ann Burns,1984
9780765346290,The Codex,Douglas Preston,2003
9780312291460,If Chins Could Kill: Confessions of a B Movie Actor,Bruce Campbell,2001
9780689849240,The First Part Last,Angela Johnson,2003
9780393318490,How the Mind Works,Steven Pinker,1997
9780375423730,"The Information: A History, a Theory, a Flood",James Gleick,2011
9781844280600,Knuffle Bunny:  A Cautionary Tale,Mo Willems,2004
9780061059930,Dark Reunion,L.J. Smith,1991
9781533134130,The Bird and the Sword,Amy Harmon,2016
9780060564650,Hissy Fit,Mary Kay Andrews,2004
9780739465520,The Lincoln Lawyer ,Michael Connelly,2005
9780915297020,Once a Runner,John L. Parker Jr.,1978
9780451457770,Tigana,Guy Gavriel Kay,1990
9780312992620,The Blue Bistro,Elin Hilderbrand,2005
9780316010760,Oblivion,David Foster Wallace,2004
9780553804680,Red Seas Under Red Skies,Scott Lynch,2007
9780521293730,The Winter's Tale,William Shakespeare,1600
9780142003250,On Her Majesty's Secret Service,Ian Fleming,1963
9780452282830,We Were the Mulvaneys,Joyce Carol Oates,1996
9780345388670,The Shining Ones,David Eddings,1993
9781607515420,The Apothecary's Daughter,Julie Klassen,2008
9789791227780,Perahu Kertas,Dee Lestari,2004
9780857532020,The Screaming Staircase,Jonathan Stroud,2013
9780373777920,The Best Man,Kristan Higgins,2013
9780316229300,The Fifth Season,N.K. Jemisin,2015
9780312984830,Dance with the Devil,Sherrilyn Kenyon,2003
9780449225160,A Place Called Freedom,Ken Follett,1995
9780553803080,Sickened,Julie Gregory,2003
9781423140570,The Serpent's Shadow,Rick Riordan,2012
9780374187610,Lila,Marilynne Robinson,2014
9780451225090,The House On Tradd Street,Karen   White,2008
9780844662920,The Johnstown Flood,David McCullough,1968
9780778322960,A Good Yarn,Debbie Macomber,2005
9781400047470,The Double Bind,Chris Bohjalian,2007
9780330487150,A Bend in the River,V.S. Naipaul,1979
9781844162950,Horus Rising,Dan Abnett,2006
9780345418780,Mostly Harmless,Douglas Adams,1992
9780525952370,One Last Thing Before I Go,Jonathan Tropper,2009
9780345808000,All My Puny Sorrows,Miriam Toews,2014
9780739429330,"""Q"" is for Quarry",Sue Grafton,2002
9780375856110,Inheritance,Christopher Paolini,2011
9781476756660,We Are Not Ourselves,Matthew  Thomas,2014
9780670023490,Shadow of Night,Deborah Harkness,2012
9780060004870,Live by Night,Dennis Lehane,2012
9780439771340,Gregor the Overlander,Suzanne Collins,2003
9780786851480,The Arctic Incident,Eoin Colfer,2002
9780850515040,Dom Casmurro,Machado de Assis,1899
9780486282220,Pygmalion,George Bernard Shaw,1912
9780345548510,Staked,Kevin Hearne,2016
9780425205820,Rules Of Prey,John Sandford,1989
9780312656260,Halo,Alexandra Adornetto,2010
9780452269650,Jazz,Toni Morrison,1992
9780142003340,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,2002
9780060525590,Fire and Ice,Erin Hunter,2003
9780441010650,Something from the Nightside,Simon R. Green,2003
9780812511820,The Eye of the World,Robert Jordan,1990
9780316191300,Holidays on Ice,David Sedaris,1997
9780718155190,The Left Hand of God ,Paul  Hoffman,2010
9781416975860,Clockwork Angel,Cassandra Clare,2010
9781594487020,The Chaperone,Laura Moriarty,2012
9780590396560,Cold Fire,Tamora Pierce,2002
9780670026330,The Secret Place,Tana French,2014
